Rocket Launch

Time:  6.0 s	Height: 359.2640612 m	V: 16.5438388 m/s	a: -11.1081292  m/s^2	Force:-0.4769144 N	Mass:0.04293 kg
Time:  6.1 s	Height: 360.8089500 m	V: 15.4488882 m/s	a: -10.9495059  m/s^2	Force:-0.4701041 N	Mass:0.04293 kg
Time:  6.2 s	Height: 362.2458065 m	V: 14.3685649 m/s	a: -10.8032328  m/s^2	Force:-0.4638240 N	Mass:0.04293 kg
Time:  6.3 s	Height: 363.5759757 m	V: 13.3016923 m/s	a: -10.6687263  m/s^2	Force:-0.4580491 N	Mass:0.04293 kg
Time:  6.4 s	Height: 364.8006903 m	V: 12.2471463 m/s	a: -10.5454599  m/s^2	Force:-0.4527568 N	Mass:0.04293 kg
Time:  6.5 s	Height: 365.9210754 m	V: 11.2038504 m/s	a: -10.4329591  m/s^2	Force:-0.4479267 N	Mass:0.04293 kg
Time:  6.6 s	Height: 366.9381524 m	V: 10.1707706 m/s	a: -10.3307975  m/s^2	Force:-0.4435406 N	Mass:0.04293 kg
Time:  6.7 s	Height: 367.8528436 m	V: 9.1469113 m/s	a: -10.2385932  m/s^2	Force:-0.4395819 N	Mass:0.04293 kg
Time:  6.8 s	Height: 368.6659746 m	V: 8.1313107 m/s	a: -10.1560057  m/s^2	Force:-0.4360361 N	Mass:0.04293 kg
Time:  6.9 s	Height: 369.3782784 m	V: 7.1230374 m/s	a: -10.0827332  m/s^2	Force:-0.4328902 N	Mass:0.04293 kg
Time:  7.0 s	Height: 369.9903970 m	V: 6.1211864 m/s	a: -10.0185102  m/s^2	Force:-0.4301329 N	Mass:0.04293 kg
Time:  7.1 s	Height: 370.5028846 m	V: 5.1248759 m/s	a: -9.9631052  m/s^2	Force:-0.4277541 N	Mass:0.04293 kg
Time:  7.2 s	Height: 370.9162090 m	V: 4.1332439 m/s	a: -9.9163194  m/s^2	Force:-0.4257454 N	Mass:0.04293 kg
Time:  7.3 s	Height: 371.2307535 m	V: 3.1454455 m/s	a: -9.8779847  m/s^2	Force:-0.4240996 N	Mass:0.04293 kg
Time:  7.4 s	Height: 371.4468185 m	V: 2.1606492 m/s	a: -9.8479627  m/s^2	Force:-0.4228106 N	Mass:0.04293 kg
Time:  7.5 s	Height: 371.5646219 m	V: 1.1780349 m/s	a: -9.8261434  m/s^2	Force:-0.4218738 N	Mass:0.04293 kg
Time:  7.6 s	Height: 371.5843010 m	V: 0.1967904 m/s	a: -9.8124448  m/s^2	Force:-0.4212857 N	Mass:0.04293 kg
			****************Reach the Highest Place******************
